id,analysis_type,provider,topic,keywords,guidance,source
rag-001,forecast_model_diagnostics,all,forecast_quality,"forecast,diagnostics,wmape,history,drift,seasonality","Use at least 6-12 monthly points for stable forecast backtests; when data is sparse, prioritize forecast guardrails and tighter weekly refresh over long-horizon confidence claims.","FinOps Foundation Forecasting Practice"
rag-002,budget_risk,all,budget_guardrails,"budget,risk,breach,p90,cvar,guardrail","Escalate budget risk when p90 repeatedly exceeds budget and pair response with concrete actions: rightsizing wave, commitment coverage increase, and non-critical workload scheduling.","FinOps Foundation Budget Governance"
rag-003,finops_operating_review,all,operating_review,"operating,review,owner,weekly,action,governance","Weekly FinOps reviews should assign explicit owners, time-bound actions, and expected savings impact for each priority item.","FinOps Operating Cadence Guide"
rag-004,commitment_strategy,aws,commitment_coverage,"aws,commitment,reserved,savings,coverage,utilization","For AWS commitment strategy, expand coverage gradually and track utilization + expiration risk to avoid over-commitment.","AWS Cost Optimization Pillar"
rag-005,commitment_strategy,azure,commitment_coverage,"azure,reservation,savings,coverage,utilization","Azure reservation programs perform best when linked to stable baselines and quarterly utilization governance.","Azure Cost Management Guidance"
rag-006,commitment_strategy,gcp,commitment_coverage,"gcp,cud,commitment,coverage,utilization","On GCP, prioritize CUD coverage on stable workloads and validate realized discount versus baseline before scaling commitment levels.","Google Cloud Cost Best Practices"
rag-007,commitment_strategy,oci,commitment_coverage,"oci,commitment,coverage,utilization,contract","OCI commitment optimization should align purchase increments with measured steady-state demand and renewal windows.","OCI Cost Management Guidance"
rag-008,tagging_strategy,all,allocation_governance,"tagging,allocation,owner,cost-center,environment,coverage","Enforce required tags at provisioning time and block non-compliant workloads in CI/CD or policy-as-code gates to reduce unallocated spend.","FinOps Allocation and Tagging Framework"
rag-009,chargeback_narrative,all,showback_chargeback,"chargeback,showback,allocation,unallocated,accountability","Chargeback adoption is more successful when teams receive a showback phase first with transparent allocation methodology.","FinOps Chargeback Playbook"
rag-010,sustainability_narrative,all,carbon_efficiency,"sustainability,carbon,region,rightsizing,efficiency","The highest sustainability impact usually comes from rightsizing idle compute and selecting lower-carbon regions for elastic workloads.","Cloud Sustainability Principles"
rag-011,waste_insights,all,waste_reduction,"waste,idle,storage,rightsizing,quick-wins","Prioritize low-effort waste actions first: unattached storage cleanup, idle instance shutdown schedules, and stale test environment controls.","FinOps Waste Reduction Patterns"
rag-012,rightsizing_brief,all,rightsizing_execution,"rightsizing,utilization,canary,performance,rollback","Treat rightsizing as an engineering change: canary rollout, performance SLO checks, and rollback criteria are required for production workloads.","FinOps Rightsizing Execution Guide"
rag-013,cross_provider_comparison_brief,all,multi_cloud_arbitrage,"multi-cloud,comparison,arbitrage,concentration,hhi","Cross-provider comparisons should balance price efficiency with concentration risk; avoid migration recommendations without workload fit checks.","Multi-Cloud FinOps Governance"
rag-014,vendor_negotiation_brief,all,procurement_strategy,"vendor,negotiation,discount,commitment,renewal","Negotiations are strongest when backed by utilization evidence, competitive alternatives, and explicit walk-away thresholds.","Cloud Procurement Playbook"
rag-015,anomaly,all,anomaly_response,"anomaly,triage,severity,runbook,root-cause","Operational anomaly response should map severity to SLA: critical within hours, high within one day, medium within two days.","FinOps Incident Response Pattern"
rag-016,optimization_roadmap,all,execution_phasing,"optimization,roadmap,30,60,90,phasing","Roadmaps should stage initiatives: quick wins in 30 days, commitment and architecture actions in 60-90 days, with measurable checkpoint KPIs.","FinOps Transformation Roadmap"
rag-017,decision_intelligence,all,scenario_frontier,"decision,scenario,frontier,tradeoff,payback,confidence,risk","Executive FinOps decisions should compare at least three scenarios across expected annual savings, execution risk, confidence, and payback before locking 30/60/90 execution sequencing.","FinOps Decision Intelligence Framework"
rag-018,finops_control_tower,all,control_tower,"control,tower,executive,forecast,waste,commitment,governance,decision","A FinOps control tower should unify forecast risk, waste, commitment coverage, allocation governance, and decision tradeoffs into one owner-driven action queue rather than separate disconnected reports.","FinOps Executive Control Tower Pattern"
